0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30445307,32,,P2X7R,GENE,,Bacteroidetes=ORGANISM; Verrucomicrobia=ORGANISM; ,,egr-1,GENE,,POSITIVE,ACTIVE,inhibit,"Furthermore, P2X7R blockade inhibited MEK1/2-ERK1/2 phosphorylation and egr-1 expression in both liver and intestine from alcohol-fed mice.",Directed Link,Negative Decrease
30445307,10,,P2X7R,GENE,,Bacteroidetes=ORGANISM; Verrucomicrobia=ORGANISM; ,,alcoholic liver disease,PHENOTYPE,,POSITIVE,ACTIVE,treat,These studies strongly suggest that P2X7R blockade may be a promising therapeutic approach for treating alcoholic liver disease.,Directed Link,Negative Decrease
30445312,1,,oridonin,COMPOUND,,NA;,,autophagy,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,"In our previous study, we demonstrated that oridonin enhances phagocytosis of apoptotic bodies by macrophage-like cells by inducing autophagy.",Directed Link,Positive Increase
30445312,1,,oridonin,COMPOUND,,NA;,,phagocytosis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,enhance,"In our previous study, we demonstrated that oridonin enhances phagocytosis of apoptotic bodies by macrophage-like cells by inducing autophagy.",Directed Link,Positive Increase
30445312,3,,oridonin,COMPOUND,,NA;,,Toll-like receptor 4 ,GENE,,POSITIVE,ACTIVE,activate,"Herein, we showed that Toll-like receptor 4 (TLR4), known to mediate immune responses, was activated by oridonin.",Directed Link,Positive Increase
30445355,4,,d-amino acids,COMPOUND,,NA;,,breast cancer,PHENOTYPE,,POSITIVE,ACTIVE,promote,Possible roles of these d-amino acids in promoting breast cancer proliferation by regulating NMDA receptors were indicated.,Directed Link,Positive Increase
30445371,7,,physical violence,PHENOTYPE,,NA;,,PPD,PHENOTYPE,,POSITIVE,ACTIVE,increase,"Additionally, different types of violence events such as sexual (OR?=?1.56; 95%CI: 1.35-1.81), emotional (OR?=?1.75; 95%CI: 1.61-1.89), and physical violence (OR?=?1.90; 95%CI: 1.36-2.67), as well as domestic (OR?=?2.05; 95%CI: 1.50-2.80) or childhood violence (OR?=?1.59; 95%CI: 1.34-1.88) also increased the risk of developing PPD.",Directed Link,Positive Increase
30445373,7,,malathion,COMPOUND,,NA;,,apoptosis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,"Subsequently, it was found that malathion exposure could induce apoptosis and autophagy by qRT-PCR and fluorescence intensity analysis.",Directed Link,Positive Increase
30445373,7,,malathion,COMPOUND,,NA;,,autophagy,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,"Subsequently, it was found that malathion exposure could induce apoptosis and autophagy by qRT-PCR and fluorescence intensity analysis.",Directed Link,Positive Increase
30445373,8,,malathion,COMPOUND,,NA;,,granulosa cell proliferation,PHENOTYPE,,POSITIVE,ACTIVE,inhibit,"In conclusion, malathion is a reproductive toxicant by inhibiting granulosa cell proliferation by multiple pathways connected to oxidative stress, DNA damage, apoptosis and autophagy.",Directed Link,Positive Decrease
